LeftTorque:-1000.02 ,RightTorque:-399.581
LeftTorque:909.061 ,RightTorque:1000.21
LeftTorque:-1000.05 ,RightTorque:-1000.47
LeftTorque:1000.06 ,RightTorque:1000.25
LeftTorque:-1000.02 ,RightTorque:-459.428
LeftTorque:993.794 ,RightTorque:1000.24
LeftTorque:-1000.04 ,RightTorque:-1000.45
LeftTorque:951.489 ,RightTorque:1000.22
LeftTorque:-1000.01 ,RightTorque:-388.334
LeftTorque:968.632 ,RightTorque:1000.22
LeftTorque:-1000.04 ,RightTorque:-1000.43
LeftTorque:992.191 ,RightTorque:1000.23
LeftTorque:-1000.02 ,RightTorque:-544.495
LeftTorque:909.349 ,RightTorque:1000.19
LeftTorque:-1000.04 ,RightTorque:-1000.42
LeftTorque:1000.05 ,RightTorque:1000.23
LeftTorque:-1000 ,RightTorque:-294.857
LeftTorque:959.5 ,RightTorque:1000.2
LeftTorque:-1000.03 ,RightTorque:-1000.4
LeftTorque:1000.04 ,RightTorque:1000.22
LeftTorque:-1000.02 ,RightTorque:-767.69
LeftTorque:917.058 ,RightTorque:1000.18
LeftTorque:-1000.02 ,RightTorque:-679.392
LeftTorque:1000.04 ,RightTorque:1000.21
LeftTorque:-1000.02 ,RightTorque:-848.65
LeftTorque:958.03 ,RightTorque:1000.2
LeftTorque:-1000.01 ,RightTorque:-551.33
LeftTorque:958.693 ,RightTorque:1000.19
LeftTorque:-1000.03 ,RightTorque:-1000.37
LeftTorque:999.679 ,RightTorque:1000.21
LeftTorque:-1000 ,RightTorque:-383.905
LeftTorque:868.952 ,RightTorque:1000.14
LeftTorque:-1000.02 ,RightTorque:-1000.36
LeftTorque:1000.03 ,RightTorque:1000.21
LeftTorque:-1000.01 ,RightTorque:-698.118
LeftTorque:1000.03 ,RightTorque:1000.2
LeftTorque:-1000.02 ,RightTorque:-860.126
LeftTorque:962.816 ,RightTorque:1000.18
LeftTorque:-1000.01 ,RightTorque:-572.606
LeftTorque:946.359 ,RightTorque:1000.17
LeftTorque:-1000.02 ,RightTorque:-1000.33
LeftTorque:1000.03 ,RightTorque:1000.2
LeftTorque:-999.998 ,RightTorque:-425.924
LeftTorque:882.073 ,RightTorque:1000.14
LeftTorque:-1000.02 ,RightTorque:-1000.33
LeftTorque:1000.03 ,RightTorque:1000.19
LeftTorque:-1000.01 ,RightTorque:-705.065
LeftTorque:1000.03 ,RightTorque:1000.18
LeftTorque:-1000.01 ,RightTorque:-887.305
LeftTorque:929.341 ,RightTorque:1000.16
LeftTorque:-1000 ,RightTorque:-559.721
LeftTorque:997.024 ,RightTorque:1000.18
LeftTorque:-1000.02 ,RightTorque:-1000.3
LeftTorque:924.359 ,RightTorque:1000.16
LeftTorque:-999.997 ,RightTorque:-523.777
LeftTorque:1000.02 ,RightTorque:1000.17
LeftTorque:-1000.01 ,RightTorque:-1000.29
LeftTorque:919.844 ,RightTorque:1000.15
LeftTorque:-999.999 ,RightTorque:-613.568
LeftTorque:1000.02 ,RightTorque:1000.17
LeftTorque:-1000.01 ,RightTorque:-1000.29
LeftTorque:936.025 ,RightTorque:1000.15
LeftTorque:-999.993 ,RightTorque:-482.212
LeftTorque:975.068 ,RightTorque:1000.15
LeftTorque:-1000.01 ,RightTorque:-1000.28
LeftTorque:957.358 ,RightTorque:1000.16
LeftTorque:-1000 ,RightTorque:-737.161
LeftTorque:967.053 ,RightTorque:1000.15
LeftTorque:-1000.01 ,RightTorque:-887.384
LeftTorque:960.978 ,RightTorque:1000.16
LeftTorque:-999.996 ,RightTorque:-624.195
LeftTorque:944.097 ,RightTorque:1000.14
LeftTorque:-1000.01 ,RightTorque:-1000.27
LeftTorque:1000.01 ,RightTorque:1000.17
LeftTorque:-999.992 ,RightTorque:-533.461
LeftTorque:879.918 ,RightTorque:1000.11
LeftTorque:-1000.01 ,RightTorque:-1000.27
LeftTorque:1000.01 ,RightTorque:1000.17
LeftTorque:-999.997 ,RightTorque:-709.704
LeftTorque:1000.01 ,RightTorque:1000.16
LeftTorque:-1000.01 ,RightTorque:-975.556
LeftTorque:921.025 ,RightTorque:1000.14
LeftTorque:-999.989 ,RightTorque:-497.503
LeftTorque:999.091 ,RightTorque:1000.15
LeftTorque:-1000 ,RightTorque:-1000.25
LeftTorque:912.653 ,RightTorque:1000.13
LeftTorque:-999.998 ,RightTorque:-821.67
LeftTorque:1000.01 ,RightTorque:1000.16
LeftTorque:-999.997 ,RightTorque:-797.227
LeftTorque:945.244 ,RightTorque:1000.13
LeftTorque:-999.998 ,RightTorque:-839.515
LeftTorque:991.98 ,RightTorque:1000.15
LeftTorque:-999.996 ,RightTorque:-773.456
LeftTorque:905.676 ,RightTorque:1000.12
LeftTorque:-999.998 ,RightTorque:-886.921
LeftTorque:1000 ,RightTorque:1000.15
LeftTorque:-999.993 ,RightTorque:-699.593
LeftTorque:948.299 ,RightTorque:1000.13
