LeftTorque:-2996.68 ,RightTorque:2990.24
LeftTorque:-2997.12 ,RightTorque:2991.11
LeftTorque:-2997.54 ,RightTorque:2991.97
LeftTorque:-2997.93 ,RightTorque:2992.8
LeftTorque:-2998.28 ,RightTorque:2993.59
LeftTorque:-2998.6 ,RightTorque:2994.32
LeftTorque:-2998.89 ,RightTorque:2995
LeftTorque:-2999.13 ,RightTorque:2995.62
LeftTorque:-2999.35 ,RightTorque:2996.18
LeftTorque:-2999.53 ,RightTorque:2996.69
LeftTorque:-2999.69 ,RightTorque:2997.13
LeftTorque:-2999.82 ,RightTorque:2997.52
LeftTorque:-2999.93 ,RightTorque:2997.87
LeftTorque:-3000.02 ,RightTorque:2998.16
LeftTorque:-3000.09 ,RightTorque:2998.42
LeftTorque:-3000.15 ,RightTorque:2998.64
LeftTorque:-3000.2 ,RightTorque:2998.83
LeftTorque:-3000.25 ,RightTorque:2998.99
LeftTorque:-3000.29 ,RightTorque:2999.12
LeftTorque:-3000.33 ,RightTorque:2999.24
LeftTorque:-3000.37 ,RightTorque:2999.33
LeftTorque:-3000.41 ,RightTorque:2999.41
LeftTorque:-3000.46 ,RightTorque:2999.47
LeftTorque:-3000.52 ,RightTorque:2999.52
LeftTorque:-3000.58 ,RightTorque:2999.57
LeftTorque:-3000.65 ,RightTorque:2999.61
LeftTorque:-3000.74 ,RightTorque:2999.64
LeftTorque:-3000.84 ,RightTorque:2999.67
LeftTorque:-3000.95 ,RightTorque:2999.7
LeftTorque:-3001.08 ,RightTorque:2999.73
LeftTorque:-3001.23 ,RightTorque:2999.77
LeftTorque:-3001.4 ,RightTorque:2999.81
LeftTorque:-3001.59 ,RightTorque:2999.85
LeftTorque:-3001.81 ,RightTorque:2999.91
LeftTorque:-3002.05 ,RightTorque:2999.97
LeftTorque:-3002.31 ,RightTorque:3000.04
LeftTorque:-3002.6 ,RightTorque:3000.13
LeftTorque:-3002.91 ,RightTorque:3000.23
LeftTorque:-3003.25 ,RightTorque:3000.34
LeftTorque:-3003.62 ,RightTorque:3000.47
LeftTorque:-3004.01 ,RightTorque:3000.62
LeftTorque:-3004.43 ,RightTorque:3000.79
LeftTorque:-3004.88 ,RightTorque:3000.97
LeftTorque:-3005.35 ,RightTorque:3001.18
LeftTorque:-3005.84 ,RightTorque:3001.4
LeftTorque:-3006.35 ,RightTorque:3001.64
LeftTorque:-3006.89 ,RightTorque:3001.9
LeftTorque:-3007.43 ,RightTorque:3002.18
LeftTorque:2995.13 ,RightTorque:3001.38
LeftTorque:2997.51 ,RightTorque:3000.63
LeftTorque:2999.08 ,RightTorque:3000.06
LeftTorque:3000.03 ,RightTorque:2999.68
LeftTorque:3000.55 ,RightTorque:2999.45
LeftTorque:3000.8 ,RightTorque:2999.34
LeftTorque:3000.87 ,RightTorque:2999.31
LeftTorque:3000.85 ,RightTorque:2999.33
LeftTorque:3000.79 ,RightTorque:2999.38
LeftTorque:3000.71 ,RightTorque:2999.44
LeftTorque:3000.64 ,RightTorque:2999.5
LeftTorque:3000.58 ,RightTorque:2999.56
LeftTorque:3000.53 ,RightTorque:2999.62
LeftTorque:3000.49 ,RightTorque:2999.66
LeftTorque:3000.46 ,RightTorque:2999.7
LeftTorque:3000.44 ,RightTorque:2999.73
LeftTorque:3000.43 ,RightTorque:2999.75
LeftTorque:3000.41 ,RightTorque:2999.77
LeftTorque:3000.4 ,RightTorque:2999.8
LeftTorque:3000.39 ,RightTorque:2999.82
LeftTorque:3000.37 ,RightTorque:2999.84
LeftTorque:3000.36 ,RightTorque:2999.87
LeftTorque:3000.34 ,RightTorque:2999.9
LeftTorque:3000.32 ,RightTorque:2999.94
LeftTorque:3000.3 ,RightTorque:2999.98
LeftTorque:3000.62 ,RightTorque:-3000.66
LeftTorque:3000.78 ,RightTorque:-3001.35
LeftTorque:3000.83 ,RightTorque:-3001.9
LeftTorque:3000.83 ,RightTorque:-3002.29
LeftTorque:3000.79 ,RightTorque:-3002.56
LeftTorque:3000.73 ,RightTorque:-3002.73
LeftTorque:3000.66 ,RightTorque:-3002.84
LeftTorque:3000.57 ,RightTorque:-3002.9
LeftTorque:3000.48 ,RightTorque:-3002.92
LeftTorque:3000.38 ,RightTorque:-3002.92
LeftTorque:3000.27 ,RightTorque:-3002.9
LeftTorque:3000.16 ,RightTorque:-3002.86
LeftTorque:3000.05 ,RightTorque:-3002.8
LeftTorque:2999.94 ,RightTorque:-3002.74
LeftTorque:2999.83 ,RightTorque:-3002.67
LeftTorque:2999.71 ,RightTorque:-3002.58
LeftTorque:2999.59 ,RightTorque:-3002.5
LeftTorque:2999.47 ,RightTorque:-3002.41
LeftTorque:2999.35 ,RightTorque:-3002.31
LeftTorque:2999.23 ,RightTorque:-3002.21
LeftTorque:2999.11 ,RightTorque:-3002.1
LeftTorque:2998.99 ,RightTorque:-3001.99
LeftTorque:2998.87 ,RightTorque:-3001.88
LeftTorque:2998.74 ,RightTorque:-3001.76
LeftTorque:2998.62 ,RightTorque:-3001.64
LeftTorque:2998.5 ,RightTorque:-3001.52
LeftTorque:2998.38 ,RightTorque:-3001.4
LeftTorque:2998.26 ,RightTorque:-3001.27
LeftTorque:2998.14 ,RightTorque:-3001.14
LeftTorque:2998.02 ,RightTorque:-3001
LeftTorque:2997.9 ,RightTorque:-3000.87
LeftTorque:2997.79 ,RightTorque:-3000.73
LeftTorque:2997.67 ,RightTorque:-3000.59
LeftTorque:2997.56 ,RightTorque:-3000.45
LeftTorque:2997.45 ,RightTorque:-3000.3
LeftTorque:2997.34 ,RightTorque:-3000.16
LeftTorque:2997.24 ,RightTorque:-3000.02
LeftTorque:2997.14 ,RightTorque:-2999.87
LeftTorque:2997.04 ,RightTorque:-2999.73
LeftTorque:2996.95 ,RightTorque:-2999.58
LeftTorque:2996.87 ,RightTorque:-2999.44
LeftTorque:2996.79 ,RightTorque:-2999.3
LeftTorque:2996.72 ,RightTorque:-2999.16
LeftTorque:2996.66 ,RightTorque:-2999.02
LeftTorque:2996.62 ,RightTorque:-2998.89
LeftTorque:2996.59 ,RightTorque:-2998.77
LeftTorque:2996.57 ,RightTorque:-2998.65
LeftTorque:2996.57 ,RightTorque:-2998.54
LeftTorque:2996.6 ,RightTorque:-2998.45
LeftTorque:2996.65 ,RightTorque:-2998.36
LeftTorque:2996.73 ,RightTorque:-2998.29
LeftTorque:-2999.83 ,RightTorque:-2999.86
LeftTorque:-2997.15 ,RightTorque:-3001.11
LeftTorque:-2995.53 ,RightTorque:-3002.03
LeftTorque:-2994.64 ,RightTorque:-3002.69
LeftTorque:-2994.2 ,RightTorque:-3003.19
LeftTorque:-2994.03 ,RightTorque:-3003.56
